# power spectrum of B
# redshift z=48.519783
# k              Pk             sigma(k)       sigma(Pk)      count
  1.963495e-02   4.954943e-18   0.000000e+00   3.429778e-19   6
  2.776802e-02   5.190318e-18   0.000000e+00   8.054757e-19   12
  3.400874e-02   3.076979e-18   3.725290e-10   6.609601e-19   8
  3.926991e-02   1.184249e-17   0.000000e+00   3.494585e-18   6
  4.390509e-02   1.231924e-17   7.024475e-10   1.645240e-18   24
  4.809562e-02   8.214939e-18   7.024475e-10   1.623335e-18   24
  5.553604e-02   8.043779e-18   0.000000e+00   2.503428e-18   12
  5.890486e-02   8.116510e-18   7.947286e-10   1.133323e-18   30
  6.209118e-02   8.706201e-18   0.000000e+00   9.973871e-19   24
  6.512178e-02   8.832088e-18   1.216675e-09   1.349890e-18   24
  6.801748e-02   5.655807e-18   7.450581e-10   2.444437e-19   8
  7.079483e-02   6.882256e-18   9.934107e-10   1.087460e-18   24
  7.346727e-02   7.309722e-18   0.000000e+00   9.623432e-19   48
  7.853982e-02   9.292282e-18   0.000000e+00   8.102282e-19   6
  8.095699e-02   7.451189e-18   9.934107e-10   8.275254e-19   48
  8.330406e-02   5.634646e-18   9.365966e-10   1.050969e-18   36
  8.558678e-02   6.238288e-18   9.934107e-10   7.039586e-19   24
  8.781018e-02   5.031404e-18   1.404895e-09   5.684249e-19   24
  8.997866e-02   6.096149e-18   0.000000e+00   7.755902e-19   48
  9.209610e-02   3.474193e-18   1.404895e-09   6.995748e-19   24
  9.619124e-02   5.025201e-18   1.404895e-09   7.879013e-19   24
  9.817477e-02   4.449110e-18   0.000000e+00   4.690527e-19   30
  1.001190e-01   3.885382e-18   0.000000e+00   3.339666e-19   72
  1.020262e-01   4.018622e-18   1.490116e-09   4.976083e-19   32
  1.057375e-01   4.440762e-18   0.000000e+00   3.511925e-19   72
  1.075451e-01   3.958338e-18   0.000000e+00   4.219240e-19   48
  1.110721e-01   3.361613e-18   0.000000e+00   7.932584e-19   12
  1.127942e-01   4.148374e-18   0.000000e+00   3.914631e-19   48
  1.144905e-01   3.909662e-18   0.000000e+00   4.530347e-19   48
  1.161620e-01   4.351782e-18   1.404895e-09   3.800654e-19   48
  1.178097e-01   3.522725e-18   1.589457e-09   3.666468e-19   30
  1.194348e-01   3.209402e-18   0.000000e+00   3.535707e-19   24
  1.210380e-01   4.818026e-18   2.961779e-09   4.033497e-19   72
  1.241824e-01   2.937815e-18   0.000000e+00   4.316892e-19   24
  1.257251e-01   3.996350e-18   0.000000e+00   3.367319e-19   96
  1.272490e-01   3.031202e-18   0.000000e+00   3.672112e-19   48
  1.287550e-01   2.095893e-18   2.433349e-09   2.850333e-19   24
  1.302436e-01   5.380391e-18   2.433349e-09   7.394441e-19   24
  1.317153e-01   2.798808e-18   0.000000e+00   2.233818e-19   72
  1.331707e-01   3.375508e-18   0.000000e+00   3.404222e-19   48
  1.360350e-01   1.485952e-18   1.490116e-09   3.867661e-19   8
  1.374447e-01   3.727246e-18   1.766064e-09   3.947333e-19   54
  1.388401e-01   2.504194e-18   0.000000e+00   1.903535e-19   84
  1.402216e-01   2.600838e-18   0.000000e+00   2.595368e-19   48
  1.415897e-01   3.371189e-18   1.986821e-09   4.262147e-19   24
  1.429446e-01   2.849319e-18   2.649095e-09   2.154531e-19   72
  1.442869e-01   3.037730e-18   0.000000e+00   1.996181e-19   96
  1.469345e-01   2.848327e-18   0.000000e+00   2.492333e-19   48
  1.482407e-01   2.856283e-18   0.000000e+00   3.066346e-19   48
  1.495354e-01   2.611664e-18   0.000000e+00   2.821820e-19   24
  1.508189e-01   2.856813e-18   0.000000e+00   2.293107e-19   72
  1.533539e-01   2.155207e-18   0.000000e+00   2.276946e-19   72
  1.546058e-01   2.111904e-18   0.000000e+00   1.994186e-19   96
  1.570796e-01   1.407981e-18   0.000000e+00   3.888307e-19   6
  1.583021e-01   1.870403e-18   0.000000e+00   1.244370e-19   96
  1.595151e-01   2.238308e-18   1.986821e-09   1.873365e-19   96
  1.607190e-01   2.116545e-18   0.000000e+00   2.611184e-19   24
  1.619140e-01   2.501826e-18   1.986821e-09   2.930151e-19   48
  1.631002e-01   2.865917e-18   0.000000e+00   1.677292e-19   96
  1.642778e-01   1.698319e-18   0.000000e+00   2.059757e-19   48
  1.666081e-01   1.696011e-18   1.873193e-09   1.579469e-19   36
  1.677611e-01   1.818974e-18   3.441276e-09   1.604294e-19   48
  1.689063e-01   2.138452e-18   3.893359e-09   1.372829e-19   120
  1.700437e-01   1.581137e-18   0.000000e+00   1.758092e-19   56
  1.711736e-01   1.225066e-18   1.986821e-09   1.233022e-19   24
  1.722960e-01   1.812654e-18   0.000000e+00   1.265598e-19   96
  1.734112e-01   1.600945e-18   0.000000e+00   1.834710e-19   48
  1.756204e-01   1.906554e-18   2.809790e-09   2.178844e-19   24
  1.767146e-01   1.854497e-18   0.000000e+00   1.401012e-19   102
  1.778021e-01   2.718454e-18   1.986821e-09   2.778963e-19   48
  1.788829e-01   1.756867e-18   0.000000e+00   1.266486e-19   72
  1.799573e-01   1.992919e-18   0.000000e+00   2.067572e-19   48
  1.810253e-01   2.071535e-18   0.000000e+00   2.872116e-19   48
  1.820871e-01   1.542993e-18   4.495664e-09   1.174792e-19   120
  1.841922e-01   1.078164e-18   2.809790e-09   1.069457e-19   24
  1.852358e-01   1.525799e-18   2.649095e-09   9.646919e-20   144
  1.862735e-01   1.658266e-18   3.178914e-09   9.644360e-20   120
  1.873055e-01   1.868998e-18   2.809790e-09   2.142576e-19   48
  1.893526e-01   1.632601e-18   2.809790e-09   1.308682e-19   48
  1.903679e-01   1.864090e-18   2.809790e-09   1.503818e-19   96
  1.930487e-01   1.557989e-18   4.711199e-04   1.409521e-19   72
  1.943761e-01   1.901823e-18   2.497591e-09   1.316506e-19   108
  1.953653e-01   1.357558e-18   0.000000e+00   1.249989e-19   72
  1.963495e-01   1.377904e-18   0.000000e+00   1.793513e-19   30
  1.973288e-01   1.285664e-18   0.000000e+00   6.772181e-20   168
  1.983033e-01   1.658173e-18   0.000000e+00   1.761565e-19   48
  2.002380e-01   1.395968e-18   0.000000e+00   1.237362e-19   72
  2.011984e-01   1.691598e-18   0.000000e+00   1.242698e-19   96
  2.021542e-01   1.566960e-18   5.298191e-09   1.634177e-19   72
  2.031055e-01   1.529861e-18   0.000000e+00   1.345743e-19   72
  2.047049e-01   1.493953e-18   4.350048e-04   1.194088e-19   104
  2.059331e-01   1.338515e-18   3.746387e-09   8.269148e-20   144
  2.087224e-01   1.461230e-18   6.282881e-09   1.018223e-19   96
  2.096439e-01   1.018606e-18   0.000000e+00   6.663906e-20   96
  2.111095e-01   1.485732e-18   4.475232e-04   1.040863e-19   120
  2.123845e-01   1.080867e-18   0.000000e+00   8.067815e-20   120
  2.132902e-01   1.612022e-18   0.000000e+00   1.409361e-19   72
  2.150901e-01   2.072473e-18   0.000000e+00   1.680457e-19   48
  2.159845e-01   1.250818e-18   4.890638e-09   1.155615e-19   78
  2.171286e-01   1.180459e-18   4.007142e-04   7.106486e-20   168
  2.195255e-01   1.400727e-18   4.588368e-09   8.850021e-20   144
  2.204018e-01   1.481943e-18   3.746387e-09   9.786321e-20   144
  2.229436e-01   1.074193e-18   2.307791e-04   6.724340e-20   156
  2.238729e-01   1.144584e-18   4.866699e-09   1.392811e-19   48
  2.247323e-01   1.086174e-18   3.178914e-09   8.485036e-20   120
  2.255884e-01   1.105659e-18   0.000000e+00   1.052144e-19   48
  2.271022e-01   1.263309e-18   3.532495e-04   9.616294e-20   216
  2.289809e-01   9.943712e-19   0.000000e+00   8.659512e-20   48
  2.298212e-01   1.199501e-18   2.809790e-09   8.447092e-20   96
  2.310160e-01   1.082092e-18   4.128272e-04   6.846745e-20   168
  2.323239e-01   1.212445e-18   2.809790e-09   1.392816e-19   48
  2.331522e-01   1.340366e-18   0.000000e+00   1.101959e-19   96
  2.339775e-01   8.519902e-19   0.000000e+00   7.637011e-20   48
  2.356194e-01   8.162636e-19   3.178914e-09   7.459927e-20   30
  2.364362e-01   8.889696e-19   0.000000e+00   6.372442e-20   96
  2.374123e-01   1.149687e-18   3.244455e-04   5.955611e-20   240
  2.386674e-01   1.110031e-18   3.500299e-04   1.156254e-19   32
  2.396752e-01   7.733892e-19   0.000000e+00   4.325102e-20   168
  2.404781e-01   1.091692e-18   0.000000e+00   8.744975e-20   120
  2.420760e-01   1.084548e-18   5.923557e-09   1.034417e-19   72
  2.428710e-01   9.716487e-19   2.649095e-09   5.962509e-20   144
  2.436634e-01   7.342835e-19   0.000000e+00   5.614590e-20   96
  2.444532e-01   9.002270e-19   0.000000e+00   6.604603e-20   96
  2.460253e-01   1.483531e-18   0.000000e+00   1.280320e-19   72
  2.468075e-01   9.633472e-19   3.973643e-09   6.957259e-20   96
  2.483647e-01   1.271075e-18   0.000000e+00   1.777622e-19   24
  2.491396e-01   9.768332e-19   0.000000e+00   5.748255e-20   192
  2.500522e-01   8.926292e-19   2.970416e-04   7.257336e-20   132
  2.514501e-01   9.524760e-19   0.000000e+00   7.220838e-20   96
  2.522156e-01   6.003208e-19   0.000000e+00   3.949920e-20   96
  2.529787e-01   8.636916e-19   3.178914e-09   6.621392e-20   120
  2.544981e-01   7.669052e-19   0.000000e+00   8.431707e-20   48
  2.557435e-01   9.864662e-19   3.599905e-04   5.258553e-20   222
  2.567603e-01   8.534928e-19   0.000000e+00   6.794163e-20   120
  2.575100e-01   9.721816e-19   4.866699e-09   1.903708e-19   24
  2.586015e-01   9.816476e-19   3.715625e-04   4.383974e-20   312
  2.609797e-01   1.013789e-18   3.483547e-04   7.130321e-20   72
  2.619630e-01   8.811043e-19   4.866699e-09   7.531200e-20   96
  2.629726e-01   9.909066e-19   3.547511e-04   6.288025e-20   192
  2.641613e-01   6.419656e-19   4.495664e-09   5.988819e-20   120
  2.648900e-01   8.739129e-19   0.000000e+00   6.467289e-20   144
  2.663415e-01   1.138301e-18   0.000000e+00   1.158431e-19   48
  2.673732e-01   8.857949e-19   3.567146e-04   4.556080e-20   336
  2.685040e-01   9.012675e-19   0.000000e+00   1.656391e-19   48
  2.699360e-01   8.783623e-19   0.000000e+00   5.209775e-20   192
  2.706492e-01   6.200877e-19   0.000000e+00   5.650745e-20   48
  2.726764e-01   7.393143e-19   2.476067e-04   8.378272e-20   56
  2.736844e-01   8.935238e-19   3.180112e-04   4.442071e-20   336
  2.748894e-01   9.821975e-19   3.532127e-09   1.092679e-19   54
  2.759390e-01   6.890392e-19   3.492904e-04   4.370665e-20   240
  2.781181e-01   7.062472e-19   3.344484e-04   5.197637e-20   228
  2.790651e-01   8.623927e-19   3.746387e-09   6.294909e-20   72
  2.799844e-01   9.128879e-19   3.244231e-04   7.299029e-20   144
  2.811298e-01   9.600733e-19   0.000000e+00   9.280794e-20   96
  2.818146e-01   6.963968e-19   4.495664e-09   3.945512e-20   240
  2.831793e-01   8.866879e-19   3.973643e-09   1.555662e-19   24
  2.840530e-01   7.842154e-19   3.064151e-04   3.473583e-20   336
  2.852142e-01   4.342051e-19   0.000000e+00   4.536230e-20   72
  2.862741e-01   9.334076e-19   3.332831e-04   6.557202e-20   168
  2.872346e-01   1.007468e-18   0.000000e+00   8.091674e-20   72
  2.885737e-01   1.106087e-18   0.000000e+00   9.679879e-20   96
  2.896108e-01   5.519926e-19   3.307829e-04   3.492535e-20   216
  2.905708e-01   6.793387e-19   0.000000e+00   4.943340e-20   96
  2.918946e-01   7.839227e-19   3.973643e-09   4.769410e-20   192
  2.925542e-01   7.258639e-19   3.746387e-09   5.672602e-20   144
  2.938691e-01   6.804453e-19   0.000000e+00   6.367989e-20   48
  2.947794e-01   5.780428e-19   3.189136e-04   3.703572e-20   246
  2.960164e-01   6.531340e-19   2.940434e-04   4.426467e-20   168
  2.971308e-01   6.722369e-19   7.786718e-09   5.013814e-20   120
  2.977788e-01   5.873695e-19   0.000000e+00   3.319209e-20   240
  2.990707e-01   8.229634e-19   0.000000e+00   1.514006e-19   24
  3.001001e-01   6.221816e-19   3.147475e-04   2.807789e-20   360
  3.013820e-01   6.955503e-19   3.134082e-04   5.030720e-20   120
