# power spectrum of chi
# redshift z=48.519783
# k              Pk             sigma(k)       sigma(Pk)      count
  1.963495e-02   1.522052e-20   0.000000e+00   4.695168e-21   6
  2.776802e-02   5.850300e-20   0.000000e+00   1.467907e-20   12
  3.400874e-02   3.398453e-20   3.725290e-10   1.452642e-20   8
  3.926991e-02   1.958903e-20   0.000000e+00   7.407036e-21   6
  4.390509e-02   2.202907e-20   7.024475e-10   4.983050e-21   24
  4.809562e-02   2.618337e-20   7.024475e-10   3.684744e-21   24
  5.553604e-02   2.928190e-20   0.000000e+00   9.895765e-21   12
  5.890486e-02   2.163410e-20   7.947286e-10   3.136866e-21   30
  6.209118e-02   9.961330e-21   0.000000e+00   1.848779e-21   24
  6.512178e-02   1.425327e-20   1.216675e-09   2.982558e-21   24
  6.801748e-02   1.033857e-20   7.450581e-10   2.778947e-21   8
  7.079483e-02   1.057470e-20   9.934107e-10   3.067429e-21   24
  7.346727e-02   1.050043e-20   0.000000e+00   1.619788e-21   48
  7.853982e-02   3.512468e-21   0.000000e+00   8.282625e-22   6
  8.095699e-02   6.957749e-21   9.934107e-10   1.011304e-21   48
  8.330406e-02   6.815073e-21   9.365966e-10   1.330561e-21   36
  8.558678e-02   6.080213e-21   9.934107e-10   9.921731e-22   24
  8.781018e-02   8.047504e-21   1.404895e-09   1.372535e-21   24
  8.997866e-02   6.262917e-21   0.000000e+00   7.748096e-22   48
  9.209610e-02   8.348455e-21   1.404895e-09   1.137296e-21   24
  9.619124e-02   4.532009e-21   1.404895e-09   6.155060e-22   24
  9.817477e-02   3.347770e-21   0.000000e+00   5.507266e-22   30
  1.001190e-01   5.510397e-21   0.000000e+00   6.391962e-22   72
  1.020262e-01   3.458865e-21   1.490116e-09   5.300324e-22   32
  1.057375e-01   3.772567e-21   0.000000e+00   3.982076e-22   72
  1.075451e-01   2.813828e-21   0.000000e+00   4.298334e-22   48
  1.110721e-01   4.376207e-21   0.000000e+00   1.504701e-21   12
  1.127942e-01   2.798604e-21   0.000000e+00   4.097652e-22   48
  1.144905e-01   3.212045e-21   0.000000e+00   4.223735e-22   48
  1.161620e-01   3.440848e-21   1.404895e-09   5.480614e-22   48
  1.178097e-01   3.831299e-21   1.589457e-09   7.957489e-22   30
  1.194348e-01   2.527771e-21   0.000000e+00   3.455839e-22   24
  1.210380e-01   2.731391e-21   2.961779e-09   3.326942e-22   72
  1.241824e-01   2.519080e-21   0.000000e+00   7.339592e-22   24
  1.257251e-01   1.883617e-21   0.000000e+00   2.024846e-22   96
  1.272490e-01   1.938663e-21   0.000000e+00   2.809312e-22   48
  1.287550e-01   1.467631e-21   2.433349e-09   1.710673e-22   24
  1.302436e-01   2.953200e-21   2.433349e-09   4.500329e-22   24
  1.317153e-01   1.823523e-21   0.000000e+00   1.970037e-22   72
  1.331707e-01   1.206891e-21   0.000000e+00   1.679197e-22   48
  1.360350e-01   2.370782e-21   1.490116e-09   5.742746e-22   8
  1.374447e-01   1.887694e-21   1.766064e-09   2.170164e-22   54
  1.388401e-01   1.892962e-21   0.000000e+00   1.793732e-22   84
  1.402216e-01   1.078819e-21   0.000000e+00   1.454600e-22   48
  1.415897e-01   1.138782e-21   1.986821e-09   1.531284e-22   24
  1.429446e-01   1.637704e-21   2.649095e-09   1.976490e-22   72
  1.442869e-01   1.027291e-21   0.000000e+00   1.061831e-22   96
  1.469345e-01   1.407980e-21   0.000000e+00   1.844061e-22   48
  1.482407e-01   7.574505e-22   0.000000e+00   1.173056e-22   48
  1.495354e-01   1.112852e-21   0.000000e+00   2.017624e-22   24
  1.508189e-01   1.164905e-21   0.000000e+00   1.132258e-22   72
  1.533539e-01   9.869305e-22   0.000000e+00   1.634934e-22   72
  1.546058e-01   8.777009e-22   0.000000e+00   9.573800e-23   96
  1.570796e-01   7.150279e-22   0.000000e+00   1.905334e-22   6
  1.583021e-01   8.592548e-22   0.000000e+00   1.051258e-22   96
  1.595151e-01   8.609644e-22   1.986821e-09   9.827896e-23   96
  1.607190e-01   1.259729e-21   0.000000e+00   3.193257e-22   24
  1.619140e-01   8.247981e-22   1.986821e-09   1.011039e-22   48
  1.631002e-01   6.492904e-22   0.000000e+00   5.425191e-23   96
  1.642778e-01   9.238303e-22   0.000000e+00   1.455525e-22   48
  1.666081e-01   6.690973e-22   1.873193e-09   1.745666e-22   36
  1.677611e-01   4.307148e-22   3.441276e-09   6.327735e-23   48
  1.689063e-01   4.769154e-22   3.893359e-09   3.530343e-23   120
  1.700437e-01   6.368019e-22   0.000000e+00   1.412052e-22   56
  1.711736e-01   5.355865e-22   1.986821e-09   1.081791e-22   24
  1.722960e-01   6.738555e-22   0.000000e+00   6.730029e-23   96
