# power spectrum of hij
# redshift z=29.789154
# k              Pk             sigma(k)       sigma(Pk)      count
  1.963495e-02   2.009056e-19   0.000000e+00   6.870250e-20   6
  2.776802e-02   1.150094e-19   0.000000e+00   1.159389e-20   12
  3.400874e-02   1.369067e-19   3.725290e-10   4.192691e-20   8
  3.926991e-02   4.039339e-20   0.000000e+00   1.036719e-21   6
  4.390509e-02   6.198118e-20   7.024475e-10   1.014542e-20   24
  4.809562e-02   3.976774e-20   7.024475e-10   6.843854e-21   24
  5.553604e-02   2.599186e-20   0.000000e+00   5.061383e-21   12
  5.890486e-02   2.150021e-20   7.947286e-10   2.454795e-21   30
  6.209118e-02   1.507196e-20   0.000000e+00   1.611283e-21   24
  6.512178e-02   9.606360e-21   1.216675e-09   1.122381e-21   24
  6.801748e-02   1.144958e-20   7.450581e-10   1.939806e-21   8
  7.079483e-02   1.379607e-20   9.934107e-10   1.424394e-21   24
  7.346727e-02   9.648293e-21   0.000000e+00   7.097795e-22   48
  7.853982e-02   6.838217e-21   0.000000e+00   1.159638e-21   6
  8.095699e-02   6.240842e-21   9.934107e-10   5.653806e-22   48
  8.330406e-02   8.950716e-21   9.365966e-10   8.455837e-22   36
  8.558678e-02   7.352804e-21   9.934107e-10   6.729495e-22   24
  8.781018e-02   4.216542e-21   1.404895e-09   4.939803e-22   24
  8.997866e-02   4.805165e-21   0.000000e+00   5.029059e-22   48
  9.209610e-02   2.304526e-21   1.404895e-09   1.559248e-22   24
  9.619124e-02   3.470531e-21   1.404895e-09   5.090406e-22   24
  9.817477e-02   2.727008e-21   0.000000e+00   3.101469e-22   30
  1.001190e-01   2.948684e-21   0.000000e+00   2.722448e-22   72
  1.020262e-01   2.848258e-21   1.490116e-09   4.428264e-22   32
  1.057375e-01   2.553845e-21   0.000000e+00   2.094893e-22   72
  1.075451e-01   2.176327e-21   0.000000e+00   1.970896e-22   48
  1.110721e-01   2.035192e-21   0.000000e+00   3.773797e-22   12
  1.127942e-01   1.354284e-21   0.000000e+00   1.130814e-22   48
  1.144905e-01   1.050768e-21   0.000000e+00   1.111899e-22   48
  1.161620e-01   1.308960e-21   1.404895e-09   1.218012e-22   48
  1.178097e-01   1.678245e-21   1.589457e-09   4.101607e-22   30
  1.194348e-01   1.375005e-21   0.000000e+00   2.648833e-22   24
  1.210380e-01   1.296678e-21   2.961779e-09   1.024819e-22   72
  1.241824e-01   1.068568e-21   0.000000e+00   1.342650e-22   24
  1.257251e-01   9.510298e-22   0.000000e+00   7.314188e-23   96
  1.272490e-01   7.432866e-22   0.000000e+00   6.125571e-23   48
  1.287550e-01   9.031418e-22   2.433349e-09   1.271396e-22   24
  1.302436e-01   6.561888e-22   2.433349e-09   1.148281e-22   24
  1.317153e-01   7.394627e-22   0.000000e+00   5.351071e-23   72
  1.331707e-01   5.751928e-22   0.000000e+00   4.495702e-23   48
  1.360350e-01   6.597503e-22   1.490116e-09   1.582083e-22   8
  1.374447e-01   5.180195e-22   1.766064e-09   4.795734e-23   54
  1.388401e-01   5.558091e-22   0.000000e+00   5.024093e-23   84
  1.402216e-01   6.209991e-22   0.000000e+00   7.226657e-23   48
  1.415897e-01   7.256360e-22   1.986821e-09   8.835694e-23   24
  1.429446e-01   5.040605e-22   2.649095e-09   3.497932e-23   72
  1.442869e-01   5.077444e-22   0.000000e+00   3.449402e-23   96
  1.469345e-01   3.844753e-22   0.000000e+00   4.027516e-23   48
  1.482407e-01   3.601129e-22   0.000000e+00   2.832752e-23   48
  1.495354e-01   4.969640e-22   0.000000e+00   5.834985e-23   24
  1.508189e-01   3.412910e-22   0.000000e+00   2.643938e-23   72
  1.533539e-01   3.091690e-22   0.000000e+00   2.472358e-23   72
