# power spectrum of phi
# redshift z=0.997956
# k              Pk             sigma(k)       sigma(Pk)      count
  1.963495e-02   1.528342e-10   0.000000e+00   6.173013e-11   6
  2.776802e-02   6.225912e-11   0.000000e+00   1.251123e-11   12
  3.400874e-02   3.517769e-11   3.725290e-10   7.685192e-12   8
  3.926991e-02   9.785150e-11   0.000000e+00   1.099521e-11   6
  4.390509e-02   5.805469e-11   7.024475e-10   1.833924e-11   24
  4.809562e-02   7.220029e-11   7.024475e-10   1.280237e-11   24
  5.553604e-02   2.561712e-11   0.000000e+00   1.116123e-11   12
  5.890486e-02   2.882297e-11   7.947286e-10   4.732475e-12   30
  6.209118e-02   3.713435e-11   0.000000e+00   7.686998e-12   24
  6.512178e-02   3.268268e-11   1.216675e-09   8.020522e-12   24
  6.801748e-02   3.233640e-11   7.450581e-10   6.095455e-12   8
  7.079483e-02   2.789087e-11   9.934107e-10   3.679192e-12   24
  7.346727e-02   2.490583e-11   0.000000e+00   3.644864e-12   48
  7.853982e-02   2.558126e-11   0.000000e+00   1.115619e-11   6
  8.095699e-02   2.053509e-11   9.934107e-10   3.027190e-12   48
  8.330406e-02   1.834970e-11   9.365966e-10   2.268151e-12   36
  8.558678e-02   2.579854e-11   9.934107e-10   5.658540e-12   24
  8.781018e-02   1.589584e-11   1.404895e-09   2.474748e-12   24
  8.997866e-02   1.313255e-11   0.000000e+00   1.637521e-12   48
  9.209610e-02   1.572736e-11   1.404895e-09   2.441829e-12   24
  9.619124e-02   1.462018e-11   1.404895e-09   1.972681e-12   24
  9.817477e-02   7.934759e-12   0.000000e+00   1.457533e-12   30
  1.001190e-01   1.025080e-11   0.000000e+00   1.103553e-12   72
  1.020262e-01   9.368337e-12   1.490116e-09   2.112390e-12   32
  1.057375e-01   1.132653e-11   0.000000e+00   1.327846e-12   72
  1.075451e-01   6.038324e-12   0.000000e+00   9.430831e-13   48
  1.110721e-01   3.906588e-12   0.000000e+00   1.376630e-12   12
  1.127942e-01   7.032181e-12   0.000000e+00   9.080453e-13   48
  1.144905e-01   6.390465e-12   0.000000e+00   6.028082e-13   48
  1.161620e-01   6.884342e-12   1.404895e-09   9.883319e-13   48
  1.178097e-01   8.593354e-12   1.589457e-09   1.589296e-12   30
  1.194348e-01   9.798137e-12   0.000000e+00   1.874179e-12   24
  1.210380e-01   9.734965e-12   2.961779e-09   1.062459e-12   72
  1.241824e-01   3.455648e-12   0.000000e+00   9.852260e-13   24
  1.257251e-01   6.694239e-12   0.000000e+00   6.417354e-13   96
  1.272490e-01   5.349700e-12   0.000000e+00   9.243347e-13   48
  1.287550e-01   3.924998e-12   2.433349e-09   7.080165e-13   24
  1.302436e-01   2.713495e-12   2.433349e-09   6.243237e-13   24
  1.317153e-01   6.978738e-12   0.000000e+00   7.651607e-13   72
  1.331707e-01   5.561068e-12   0.000000e+00   7.706233e-13   48
  1.360350e-01   3.640793e-12   1.490116e-09   8.609481e-13   8
  1.374447e-01   7.111949e-12   1.766064e-09   1.055872e-12   54
  1.388401e-01   4.415246e-12   0.000000e+00   5.940845e-13   84
  1.402216e-01   5.974283e-12   0.000000e+00   7.800830e-13   48
  1.415897e-01   3.490231e-12   1.986821e-09   4.820765e-13   24
  1.429446e-01   4.140926e-12   2.649095e-09   4.500033e-13   72
  1.442869e-01   4.794928e-12   0.000000e+00   5.535859e-13   96
  1.469345e-01   5.497823e-12   0.000000e+00   5.592613e-13   48
  1.482407e-01   4.041999e-12   0.000000e+00   5.196115e-13   48
  1.495354e-01   3.642215e-12   0.000000e+00   7.061927e-13   24
  1.508189e-01   3.746432e-12   0.000000e+00   3.636768e-13   72
  1.533539e-01   3.360060e-12   0.000000e+00   3.808743e-13   72
  1.546058e-01   3.102681e-12   0.000000e+00   3.124606e-13   96
  1.570796e-01   4.937009e-12   0.000000e+00   2.049464e-12   6
  1.583021e-01   3.502015e-12   0.000000e+00   3.785992e-13   96
  1.595151e-01   3.531057e-12   1.986821e-09   3.753195e-13   96
  1.607190e-01   1.707253e-12   0.000000e+00   3.838785e-13   24
  1.619140e-01   2.718083e-12   1.986821e-09   3.362823e-13   48
  1.631002e-01   2.475292e-12   0.000000e+00   2.560669e-13   96
  1.642778e-01   2.459655e-12   0.000000e+00   4.975389e-13   48
  1.666081e-01   2.209865e-12   1.873193e-09   4.114946e-13   36
  1.677611e-01   2.125759e-12   3.441276e-09   3.009645e-13   48
  1.689063e-01   2.488433e-12   3.893359e-09   2.303194e-13   120
  1.700437e-01   2.614800e-12   0.000000e+00   3.983754e-13   56
  1.711736e-01   1.326199e-12   1.986821e-09   2.494080e-13   24
  1.722960e-01   1.889828e-12   0.000000e+00   2.110618e-13   96
  1.734112e-01   2.179830e-12   0.000000e+00   2.666548e-13   48
  1.756204e-01   2.524459e-12   2.809790e-09   4.799970e-13   24
  1.767146e-01   2.800281e-12   0.000000e+00   3.181642e-13   102
  1.778021e-01   3.035411e-12   1.986821e-09   4.625519e-13   48
  1.788829e-01   2.428638e-12   0.000000e+00   2.149569e-13   72
  1.799573e-01   2.007118e-12   0.000000e+00   1.985325e-13   48
  1.810253e-01   2.652837e-12   0.000000e+00   4.641860e-13   48
  1.820871e-01   2.504063e-12   4.495664e-09   2.116509e-13   120
  1.841922e-01   2.259837e-12   2.809790e-09   2.567276e-13   24
  1.852358e-01   1.812733e-12   2.649095e-09   1.483578e-13   144
  1.862735e-01   1.605970e-12   3.178914e-09   2.087022e-13   120
  1.873055e-01   1.767884e-12   2.809790e-09   2.807643e-13   48
  1.893526e-01   2.078115e-12   2.809790e-09   3.263515e-13   48
  1.903679e-01   1.733711e-12   2.809790e-09   1.467344e-13   96
  1.930487e-01   1.652160e-12   4.711199e-04   1.750842e-13   72
  1.943761e-01   1.737895e-12   2.497591e-09   1.473879e-13   108
  1.953653e-01   1.638005e-12   0.000000e+00   1.788297e-13   72
  1.963495e-01   1.067645e-12   0.000000e+00   1.786227e-13   30
  1.973288e-01   1.702801e-12   0.000000e+00   1.177058e-13   168
  1.983033e-01   2.289877e-12   0.000000e+00   2.465159e-13   48
  2.002380e-01   1.365501e-12   0.000000e+00   1.639659e-13   72
  2.011984e-01   1.703375e-12   0.000000e+00   1.792852e-13   96
  2.021542e-01   1.365475e-12   5.298191e-09   1.626140e-13   72
  2.031055e-01   1.527300e-12   0.000000e+00   1.327002e-13   72
  2.047049e-01   1.663604e-12   4.350048e-04   1.583500e-13   104
  2.059331e-01   1.407940e-12   3.746387e-09   9.710192e-14   144
  2.087224e-01   9.913380e-13   6.282881e-09   1.009482e-13   96
  2.096439e-01   9.665961e-13   0.000000e+00   1.067312e-13   96
  2.111095e-01   1.325123e-12   4.475232e-04   1.311016e-13   120
  2.123845e-01   1.135831e-12   0.000000e+00   1.048434e-13   120
  2.132902e-01   1.605850e-12   0.000000e+00   1.667053e-13   72
  2.150901e-01   1.452256e-12   0.000000e+00   1.820014e-13   48
  2.159845e-01   1.402420e-12   4.890638e-09   1.713738e-13   78
  2.171286e-01   1.146808e-12   4.007142e-04   9.470605e-14   168
  2.195255e-01   1.160330e-12   4.588368e-09   8.670579e-14   144
  2.204018e-01   1.593688e-12   3.746387e-09   1.348137e-13   144
  2.229436e-01   1.128421e-12   2.307791e-04   9.990427e-14   156
  2.238729e-01   9.086279e-13   4.866699e-09   1.593264e-13   48
  2.247323e-01   1.031700e-12   3.178914e-09   1.065351e-13   120
  2.255884e-01   1.059937e-12   0.000000e+00   2.391793e-13   48
  2.271022e-01   1.120077e-12   3.532495e-04   8.666333e-14   216
