# power spectrum of B
# redshift z=-0.029939
# k              Pk             sigma(k)       sigma(Pk)      count
  1.963495e-02   7.418122e-17   0.000000e+00   3.619826e-18   6
  2.776802e-02   8.797776e-17   0.000000e+00   1.394280e-17   12
  3.400874e-02   5.433124e-17   3.725290e-10   1.049145e-17   8
  3.926991e-02   1.838206e-16   0.000000e+00   5.896175e-17   6
  4.390509e-02   1.652312e-16   7.024475e-10   2.026230e-17   24
  4.809562e-02   1.173778e-16   7.024475e-10   2.733711e-17   24
  5.553604e-02   1.177775e-16   0.000000e+00   3.508528e-17   12
  5.890486e-02   1.245562e-16   7.947286e-10   1.884686e-17   30
  6.209118e-02   1.402309e-16   0.000000e+00   1.440058e-17   24
  6.512178e-02   1.089369e-16   1.216675e-09   1.836938e-17   24
  6.801748e-02   6.785950e-17   7.450581e-10   4.035898e-18   8
  7.079483e-02   9.092248e-17   9.934107e-10   1.423588e-17   24
  7.346727e-02   8.860971e-17   0.000000e+00   1.135660e-17   48
  7.853982e-02   1.430398e-16   0.000000e+00   9.503396e-18   6
  8.095699e-02   8.456075e-17   9.934107e-10   8.161678e-18   48
  8.330406e-02   7.250541e-17   9.365966e-10   1.117532e-17   36
  8.558678e-02   9.295905e-17   9.934107e-10   1.237486e-17   24
  8.781018e-02   7.132529e-17   1.404895e-09   5.221165e-18   24
  8.997866e-02   7.170562e-17   0.000000e+00   8.971366e-18   48
  9.209610e-02   5.267355e-17   1.404895e-09   1.055830e-17   24
  9.619124e-02   6.809216e-17   1.404895e-09   1.122526e-17   24
  9.817477e-02   5.131274e-17   0.000000e+00   6.768262e-18   30
  1.001190e-01   6.112366e-17   0.000000e+00   5.474155e-18   72
  1.020262e-01   4.981530e-17   1.490116e-09   6.409700e-18   32
  1.057375e-01   5.135001e-17   0.000000e+00   4.146289e-18   72
  1.075451e-01   5.577889e-17   0.000000e+00   5.326675e-18   48
  1.110721e-01   4.965388e-17   0.000000e+00   1.076445e-17   12
  1.127942e-01   5.265462e-17   0.000000e+00   3.863472e-18   48
  1.144905e-01   5.312974e-17   0.000000e+00   6.463092e-18   48
  1.161620e-01   4.202071e-17   1.404895e-09   4.014298e-18   48
  1.178097e-01   4.770920e-17   1.589457e-09   5.509172e-18   30
  1.194348e-01   4.415294e-17   0.000000e+00   6.766439e-18   24
  1.210380e-01   5.605189e-17   2.961779e-09   4.487478e-18   72
  1.241824e-01   3.708631e-17   0.000000e+00   5.048543e-18   24
  1.257251e-01   4.479111e-17   0.000000e+00   2.921094e-18   96
  1.272490e-01   3.720928e-17   0.000000e+00   3.790085e-18   48
  1.287550e-01   3.835187e-17   2.433349e-09   4.711171e-18   24
  1.302436e-01   5.272787e-17   2.433349e-09   5.731820e-18   24
  1.317153e-01   3.330096e-17   0.000000e+00   2.544650e-18   72
  1.331707e-01   3.394406e-17   0.000000e+00   3.643327e-18   48
  1.360350e-01   2.140143e-17   1.490116e-09   5.067695e-18   8
  1.374447e-01   3.385404e-17   1.766064e-09   2.899041e-18   54
  1.388401e-01   3.522913e-17   0.000000e+00   3.013866e-18   84
  1.402216e-01   3.843054e-17   0.000000e+00   3.184236e-18   48
  1.415897e-01   3.230877e-17   1.986821e-09   5.475809e-18   24
  1.429446e-01   3.515723e-17   2.649095e-09   1.809552e-18   72
  1.442869e-01   3.181935e-17   0.000000e+00   2.169085e-18   96
  1.469345e-01   3.187801e-17   0.000000e+00   4.641309e-18   48
  1.482407e-01   3.122220e-17   0.000000e+00   4.041902e-18   48
  1.495354e-01   3.144663e-17   0.000000e+00   3.861859e-18   24
  1.508189e-01   3.436016e-17   0.000000e+00   2.821347e-18   72
  1.533539e-01   1.968208e-17   0.000000e+00   1.999772e-18   72
  1.546058e-01   2.321394e-17   0.000000e+00   1.864450e-18   96
  1.570796e-01   1.985244e-17   0.000000e+00   2.589379e-18   6
  1.583021e-01   2.390603e-17   0.000000e+00   2.135169e-18   96
  1.595151e-01   2.391881e-17   1.986821e-09   1.693758e-18   96
  1.607190e-01   1.639512e-17   0.000000e+00   2.655831e-18   24
  1.619140e-01   2.823170e-17   1.986821e-09   3.426746e-18   48
  1.631002e-01   2.829131e-17   0.000000e+00   2.079702e-18   96
  1.642778e-01   2.495969e-17   0.000000e+00   3.367890e-18   48
  1.666081e-01   1.848211e-17   1.873193e-09   2.582411e-18   36
  1.677611e-01   2.204327e-17   3.441276e-09   2.031076e-18   48
  1.689063e-01   1.926900e-17   3.893359e-09   1.180988e-18   120
  1.700437e-01   2.170168e-17   0.000000e+00   1.653553e-18   56
  1.711736e-01   1.636570e-17   1.986821e-09   3.353947e-18   24
  1.722960e-01   1.889755e-17   0.000000e+00   1.374964e-18   96
  1.734112e-01   1.958594e-17   0.000000e+00   2.031312e-18   48
  1.756204e-01   1.900353e-17   2.809790e-09   2.858321e-18   24
  1.767146e-01   1.949265e-17   0.000000e+00   1.286930e-18   102
  1.778021e-01   2.345113e-17   1.986821e-09   2.962483e-18   48
  1.788829e-01   2.480442e-17   0.000000e+00   1.580958e-18   72
  1.799573e-01   1.618355e-17   0.000000e+00   1.820818e-18   48
  1.810253e-01   1.969874e-17   0.000000e+00   1.931027e-18   48
  1.820871e-01   2.192135e-17   4.495664e-09   1.974129e-18   120
  1.841922e-01   1.553481e-17   2.809790e-09   1.544343e-18   24
  1.852358e-01   1.691206e-17   2.649095e-09   8.988377e-19   144
  1.862735e-01   1.952299e-17   3.178914e-09   1.439973e-18   120
  1.873055e-01   1.984038e-17   2.809790e-09   2.031771e-18   48
  1.893526e-01   1.808946e-17   2.809790e-09   1.564790e-18   48
  1.903679e-01   1.897354e-17   2.809790e-09   1.288705e-18   96
  1.930487e-01   1.422076e-17   4.711199e-04   1.301552e-18   72
  1.943761e-01   1.537825e-17   2.497591e-09   1.234722e-18   108
  1.953653e-01   1.771408e-17   0.000000e+00   1.345338e-18   72
  1.963495e-01   1.835309e-17   0.000000e+00   4.434653e-18   30
  1.973288e-01   1.583844e-17   0.000000e+00   9.303918e-19   168
